round_k,0,1,6,29
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,200,100
round_queries,100,600,1500
round_k,0,1,7
round_shots,200,100,100,100
round_queries,200,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,200,100,100,100
round_queries,200,300,1300,5300
round_k,0,1,6,26
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1100,4900
round_k,0,1,5,24
round_shots,100,100,100,100
round_queries,100,300,1300,5500
round_k,0,1,6,27
round_shots,200,100,100,100
round_queries,200,300,1100,4900
round_k,0,1,5,24
round_shots,300,100,100
round_queries,300,700,3500
round_k,0,3,17
round_shots,300,100,100,100
round_queries,300,300,1100,4900
round_k,0,1,5,24
round_shots,200,100,100,100
round_queries,200,300,1100,5100
round_k,0,1,5,25
round_shots,300,100,100
round_queries,300,900,4700
round_k,0,4,23
round_shots,200,100,100,100
round_queries,200,300,1100,5500
round_k,0,1,5,27
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,200,100
round_queries,100,600,1500
round_k,0,1,7
round_shots,300,100,100
round_queries,300,900,3500
round_k,0,4,17
round_shots,100,200,100
round_queries,100,600,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1100,4500
round_k,0,1,5,22
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,200,100,100,100
round_queries,200,300,1300,5300
round_k,0,1,6,26
round_shots,200,100,100,100
round_queries,200,300,1100,4900
round_k,0,1,5,24
round_shots,200,100,100,100
round_queries,200,300,1300,5900
round_k,0,1,6,29
round_shots,100,100,100,100
round_queries,100,300,1300,5900
round_k,0,1,6,29
round_shots,100,200,100
round_queries,100,600,1700
round_k,0,1,8
round_shots,100,200,100
round_queries,100,600,1500
round_k,0,1,7
round_shots,300,100,100
round_queries,300,300,1500
round_k,0,1,7
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,300,100,100
round_queries,300,900,3700
round_k,0,4,18
round_shots,200,100,100,100
round_queries,200,300,1300,6300
round_k,0,1,6,31
round_shots,200,100,100,100
round_queries,200,300,1100,4900
round_k,0,1,5,24
round_shots,200,100,100,100
round_queries,200,300,1300,6300
round_k,0,1,6,31
round_shots,300,100,100
round_queries,300,900,3700
round_k,0,4,18
round_shots,400,100,100
round_queries,400,900,3700
round_k,0,4,18
round_shots,300,100,100,100
round_queries,300,300,1100,5100
round_k,0,1,5,25
round_shots,300,100,100,100
round_queries,300,300,1100,4900
round_k,0,1,5,24
round_shots,100,100,100,100
round_queries,100,300,1300,5900
round_k,0,1,6,29
round_shots,200,100,100,100
round_queries,200,300,1100,5100
round_k,0,1,5,25
round_shots,200,100,100,100
round_queries,200,300,1100,5100
round_k,0,1,5,25
round_shots,200,100,100,100
round_queries,200,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1100,5300
round_k,0,1,5,26
round_shots,200,100,100,100
round_queries,200,300,1300,6100
round_k,0,1,6,30
round_shots,300,100,100,100
round_queries,300,300,1100,5300
round_k,0,1,5,26
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,200,100,100,100
round_queries,200,300,1100,4900
round_k,0,1,5,24
round_shots,100,100,100,100
round_queries,100,300,1100,5900
round_k,0,1,5,29
round_shots,100,100,100,100
round_queries,100,300,1100,4900
round_k,0,1,5,24
round_shots,100,100,100,100
round_queries,100,300,1100,5100
round_k,0,1,5,25
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1300,5900
round_k,0,1,6,29
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,200,100,100,100
round_queries,200,300,1300,5900
round_k,0,1,6,29
round_shots,100,100,100,100
round_queries,100,300,1100,5300
round_k,0,1,5,26
round_shots,100,100,100,100
round_queries,100,300,1100,4700
round_k,0,1,5,23
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1300,5500
round_k,0,1,6,27
round_shots,100,100,100,100
round_queries,100,300,1300,5900
round_k,0,1,6,29
round_shots,100,100,100,100
round_queries,100,300,1300,6900
round_k,0,1,6,34
round_shots,100,100,100,100
round_queries,100,300,1100,4900
round_k,0,1,5,24
round_shots,100,100,100,100
round_queries,100,300,1100,5100
round_k,0,1,5,25
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100,100
round_queries,100,300,1100,5100
round_k,0,1,5,25
round_shots,200,100,100,100
round_queries,200,300,1100,4900
round_k,0,1,5,24
round_shots,200,100,100,100
round_queries,200,300,1300,6900
round_k,0,1,6,34
round_shots,100,100,100,100
round_queries,100,300,1100,5100
round_k,0,1,5,25
round_shots,300,100,100,100
round_queries,300,300,1300,5900
round_k,0,1,6,29
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,200,100,100,100
round_queries,200,300,1100,4700
round_k,0,1,5,23
round_shots,100,100,100,100
round_queries,100,300,1100,4900
round_k,0,1,5,24
round_shots,100,100,100,100
round_queries,100,300,1300,7100
round_k,0,1,6,35
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1300,5900
round_k,0,1,6,29
round_shots,100,100,100,100
round_queries,100,300,1300,5300
round_k,0,1,6,26
round_shots,100,100,100,100
round_queries,100,300,1100,4100
round_k,0,1,5,20
round_shots,100,100,100,100
round_queries,100,300,1100,5900
round_k,0,1,5,29
round_shots,100,100,100,100
round_queries,100,300,1300,5900
round_k,0,1,6,29
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1100,4900
round_k,0,1,5,24
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,200,100,100,100
round_queries,200,300,1300,5900
round_k,0,1,6,29
round_shots,200,200,100
round_queries,200,600,1700
round_k,0,1,8
round_shots,100,100,100,100
round_queries,100,300,900,4300
round_k,0,1,4,21
round_shots,200,100,100,100
round_queries,200,300,1300,6300
round_k,0,1,6,31
round_shots,300,100,100,100
round_queries,300,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,200,100,100,100
round_queries,200,300,1300,6700
round_k,0,1,6,33
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,400,100,100
round_queries,400,900,3900
round_k,0,4,19
round_shots,100,100,100,100
round_queries,100,300,1100,4100
round_k,0,1,5,20
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100,100
round_queries,100,300,1100,4900
round_k,0,1,5,24
round_shots,100,100,100,100
round_queries,100,300,1300,5900
round_k,0,1,6,29
round_shots,100,100,100,100
round_queries,100,300,1100,5300
round_k,0,1,5,26
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,200,100,100,100
round_queries,200,300,1300,6500
round_k,0,1,6,32
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,200,100,100,100
round_queries,200,300,1100,4700
round_k,0,1,5,23
round_shots,100,200,100
round_queries,100,600,1700
round_k,0,1,8
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1100,5300
round_k,0,1,5,26
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,200,100,100,100
round_queries,200,300,1300,5900
round_k,0,1,6,29
round_shots,200,100,100,100
round_queries,200,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1100,4900
round_k,0,1,5,24
round_shots,200,100,100,100
round_queries,200,300,1300,7100
round_k,0,1,6,35
round_shots,200,100,100,100
round_queries,200,300,1100,4900
round_k,0,1,5,24
round_shots,300,100,100
round_queries,300,900,3900
round_k,0,4,19
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,300,100,100,100
round_queries,300,300,1300,5300
round_k,0,1,6,26
round_shots,100,100,100,100
round_queries,100,300,1100,4900
round_k,0,1,5,24
round_shots,200,100,100,100
round_queries,200,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1300,5900
round_k,0,1,6,29
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,200,200,100
round_queries,200,600,1700
round_k,0,1,8
round_shots,300,100,100
round_queries,300,900,4100
round_k,0,4,20
round_shots,200,100,100,100
round_queries,200,300,1100,4700
round_k,0,1,5,23
round_shots,100,100,100,100
round_queries,100,300,1100,4700
round_k,0,1,5,23
round_shots,300,100,100
round_queries,300,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6500
round_k,0,1,6,32
round_shots,100,200,100
round_queries,100,600,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,200,100,100,100
round_queries,200,300,1100,5100
round_k,0,1,5,25
round_shots,300,100,100,100
round_queries,300,300,1300,5300
round_k,0,1,6,26
round_shots,200,100,100,100
round_queries,200,300,1100,4900
round_k,0,1,5,24
round_shots,200,100,100
round_queries,200,700,3500
round_k,0,3,17
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1100,5700
round_k,0,1,5,28
round_shots,200,100,100,100
round_queries,200,300,1100,4700
round_k,0,1,5,23
round_shots,200,100,100,100
round_queries,200,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1100,5700
round_k,0,1,5,28
round_shots,100,100,100,100
round_queries,100,300,1300,7100
round_k,0,1,6,35
round_shots,100,100,100,100
round_queries,100,300,1300,6500
round_k,0,1,6,32
round_shots,200,100,100,100
round_queries,200,300,1100,5100
round_k,0,1,5,25
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,7100
round_k,0,1,6,35
round_shots,100,100,100,100
round_queries,100,300,1300,5900
round_k,0,1,6,29
round_shots,200,100,100,100
round_queries,200,300,1300,6700
round_k,0,1,6,33
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,200,100,100,100
round_queries,200,300,1300,6500
round_k,0,1,6,32
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,100,200,100
round_queries,100,600,1500
round_k,0,1,7
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,200,100,100,100
round_queries,200,300,1300,5900
round_k,0,1,6,29
round_shots,200,100,100,100
round_queries,200,300,1100,5100
round_k,0,1,5,25
round_shots,300,100,100
round_queries,300,900,3700
round_k,0,4,18
round_shots,100,200,100
round_queries,100,600,1700
round_k,0,1,8
round_shots,200,100,100,100
round_queries,200,300,1300,7100
round_k,0,1,6,35
round_shots,200,100,100,100
round_queries,200,300,1300,5700
round_k,0,1,6,28
round_shots,100,100,100,100
round_queries,100,300,1300,5300
round_k,0,1,6,26
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100,100
round_queries,100,300,1100,4900
round_k,0,1,5,24
round_shots,100,100,100,100
round_queries,100,300,1100,4900
round_k,0,1,5,24
round_shots,200,100,100,100
round_queries,200,300,1100,5100
round_k,0,1,5,25
round_shots,300,100,100,100
round_queries,300,300,1300,7100
round_k,0,1,6,35
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,300,100,100
round_queries,300,900,3900
round_k,0,4,19
round_shots,200,100,100,100
round_queries,200,300,1300,6100
round_k,0,1,6,30
round_shots,300,100,100,100
round_queries,300,300,1300,6300
round_k,0,1,6,31
round_shots,200,100,100,100
round_queries,200,300,1300,5300
round_k,0,1,6,26
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,200,100,100,100
round_queries,200,300,1300,6500
round_k,0,1,6,32
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,200,100,100,100
round_queries,200,300,1300,5900
round_k,0,1,6,29
round_shots,100,100,100,100
round_queries,100,300,1300,6900
round_k,0,1,6,34
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1100,5300
round_k,0,1,5,26
round_shots,100,200,100
round_queries,100,600,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100,100
round_queries,100,300,1300,7100
round_k,0,1,6,35
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100,100
round_queries,100,300,1100,5100
round_k,0,1,5,25
round_shots,100,100,100,100
round_queries,100,300,1300,6500
round_k,0,1,6,32
round_shots,200,100,100,100
round_queries,200,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,5300
round_k,0,1,6,26
round_shots,200,100,100,100
round_queries,200,300,1100,5100
round_k,0,1,5,25
round_shots,100,100,100,100
round_queries,100,300,1100,4700
round_k,0,1,5,23
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,300,100,100
round_queries,300,900,3900
round_k,0,4,19
round_shots,200,100,100,100
round_queries,200,300,1300,6300
round_k,0,1,6,31
round_shots,300,100,100,100
round_queries,300,300,1100,5100
round_k,0,1,5,25
round_shots,200,100,100,100
round_queries,200,300,1300,6300
round_k,0,1,6,31
round_shots,200,200,100
round_queries,200,600,1700
round_k,0,1,8
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1100,4900
round_k,0,1,5,24
round_shots,200,100,100,100
round_queries,200,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100,100
round_queries,100,300,1100,5100
round_k,0,1,5,25
round_shots,100,100,100,100
round_queries,100,300,1100,5100
round_k,0,1,5,25
round_shots,200,100,100,100
round_queries,200,300,1100,4900
round_k,0,1,5,24
round_shots,100,100,100,100
round_queries,100,300,1100,5100
round_k,0,1,5,25
round_shots,100,100,100,100
round_queries,100,300,1300,6500
round_k,0,1,6,32
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,300,100,100
round_queries,300,900,3500
round_k,0,4,17
round_shots,200,100,100,100
round_queries,200,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100,100
round_queries,100,300,1300,6500
round_k,0,1,6,32
round_shots,200,100,100,100
round_queries,200,300,1100,5100
round_k,0,1,5,25
round_shots,200,100,100,100
round_queries,200,300,1100,5100
round_k,0,1,5,25
round_shots,200,100,100,100
round_queries,200,300,1100,5300
round_k,0,1,5,26
round_shots,100,100,100,100
round_queries,100,300,1300,5900
round_k,0,1,6,29
round_shots,100,100,100,100
round_queries,100,300,1100,4900
round_k,0,1,5,24
round_shots,100,100,100,100
round_queries,100,300,1100,5100
round_k,0,1,5,25
round_shots,100,200,100
round_queries,100,600,1700
round_k,0,1,8
round_shots,300,100,100,100
round_queries,300,300,1300,6300
round_k,0,1,6,31
round_shots,300,100,100
round_queries,300,300,1500
round_k,0,1,7
round_shots,200,100,100,100
round_queries,200,300,1300,6300
round_k,0,1,6,31
round_shots,200,100,100,100
round_queries,200,300,1100,5100
round_k,0,1,5,25
round_shots,200,100,100,100
round_queries,200,300,1300,6300
round_k,0,1,6,31
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1100,4900
round_k,0,1,5,24
round_shots,200,100,100,100
round_queries,200,300,1300,6300
round_k,0,1,6,31
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1100,4900
round_k,0,1,5,24
round_shots,200,100,100,100
round_queries,200,300,1300,6300
round_k,0,1,6,31
round_shots,200,100,100,100
round_queries,200,300,1300,6100
round_k,0,1,6,30
round_shots,200,100,100,100
round_queries,200,300,1100,5900
round_k,0,1,5,29
round_shots,300,100,100
round_queries,300,900,4100
round_k,0,4,20
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1100,5100
round_k,0,1,5,25
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,200,100
round_queries,100,600,1700
round_k,0,1,8
round_shots,300,100,100
round_queries,300,900,4700
round_k,0,4,23
round_shots,100,100,100,100
round_queries,100,300,1100,5900
round_k,0,1,5,29
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100,100
round_queries,100,300,1300,5300
round_k,0,1,6,26
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,200,100,100,100
round_queries,200,300,1300,5300
round_k,0,1,6,26
round_shots,300,100,100
round_queries,300,900,3700
round_k,0,4,18
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1100,4900
round_k,0,1,5,24
round_shots,100,200,100
round_queries,100,600,1700
round_k,0,1,8
round_shots,300,100,100
round_queries,300,700,3500
round_k,0,3,17
round_shots,100,100,100,100
round_queries,100,300,1300,5300
round_k,0,1,6,26
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1100,4700
round_k,0,1,5,23
round_shots,200,100,100,100
round_queries,200,300,1100,4700
round_k,0,1,5,23
round_shots,300,100,100,100
round_queries,300,300,1300,6300
round_k,0,1,6,31
round_shots,200,200,100
round_queries,200,600,1500
round_k,0,1,7
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1100,4900
round_k,0,1,5,24
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,200,100,100,100
round_queries,200,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,200,100,100,100
round_queries,200,300,1100,4700
round_k,0,1,5,23
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,200,100
round_queries,100,600,1700
round_k,0,1,8
round_shots,200,100,100,100
round_queries,200,300,1100,4900
round_k,0,1,5,24
round_shots,100,100,100,100
round_queries,100,300,1100,4700
round_k,0,1,5,23
round_shots,200,100,100,100
round_queries,200,300,1100,4500
round_k,0,1,5,22
round_shots,200,100,100,100
round_queries,200,300,1100,5100
round_k,0,1,5,25
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,200,100,100,100
round_queries,200,300,1100,5300
round_k,0,1,5,26
round_shots,200,100,100,100
round_queries,200,300,1300,6100
round_k,0,1,6,30
round_shots,300,100,100,100
round_queries,300,300,1300,5900
round_k,0,1,6,29
round_shots,100,100,100,100
round_queries,100,300,1300,7100
round_k,0,1,6,35
round_shots,100,100,100,100
round_queries,100,300,1300,6500
round_k,0,1,6,32
round_shots,200,100,100,100
round_queries,200,300,1100,4700
round_k,0,1,5,23
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,300,100,100,100
round_queries,300,300,1100,4100
round_k,0,1,5,20
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,200,100
round_queries,100,600,1500
round_k,0,1,7
round_shots,200,100,100,100
round_queries,200,300,1100,4900
round_k,0,1,5,24
round_shots,200,100,100,100
round_queries,200,300,1100,5700
round_k,0,1,5,28
round_shots,200,100,100,100
round_queries,200,300,1100,5100
round_k,0,1,5,25
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,200,100,100,100
round_queries,200,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1100,5900
round_k,0,1,5,29
round_shots,100,200,100
round_queries,100,600,1700
round_k,0,1,8
round_shots,200,100,100,100
round_queries,200,300,1100,4900
round_k,0,1,5,24
round_shots,200,100,100,100
round_queries,200,300,1100,4900
round_k,0,1,5,24
round_shots,100,200,100
round_queries,100,600,1500
round_k,0,1,7
round_shots,200,100,100,100
round_queries,200,300,1300,6300
round_k,0,1,6,31
round_shots,200,100,100,100
round_queries,200,300,1300,6100
round_k,0,1,6,30
round_shots,200,100,100,100
round_queries,200,300,1100,5100
round_k,0,1,5,25
round_shots,200,100,100,100
round_queries,200,300,1100,5300
round_k,0,1,5,26
round_shots,100,200,100
round_queries,100,600,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6500
round_k,0,1,6,32
round_shots,100,100,100,100
round_queries,100,300,1100,5100
round_k,0,1,5,25
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100
round_queries,100,300,1500
round_k,0,1,7
round_shots,200,100,100,100
round_queries,200,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,200,100,100,100
round_queries,200,300,1300,6500
round_k,0,1,6,32
round_shots,200,100,100,100
round_queries,200,300,1300,7100
round_k,0,1,6,35
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,200,200,100
round_queries,200,600,1700
round_k,0,1,8
round_shots,400,100,100
round_queries,400,900,4100
round_k,0,4,20
round_shots,200,200,100
round_queries,200,600,1700
round_k,0,1,8
round_shots,200,100,100,100
round_queries,200,300,1300,6100
round_k,0,1,6,30
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100,100
round_queries,100,300,1100,5100
round_k,0,1,5,25
round_shots,200,100,100,100
round_queries,200,300,1300,6500
round_k,0,1,6,32
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100,100
round_queries,100,300,1100,5100
round_k,0,1,5,25
round_shots,100,100,100,100
round_queries,100,300,1300,6100
round_k,0,1,6,30
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,300,100,100,100
round_queries,300,300,1300,6100
round_k,0,1,6,30
round_shots,200,100,100,100
round_queries,200,300,1100,5100
round_k,0,1,5,25
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,100,200,100
round_queries,100,600,1500
round_k,0,1,7
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,300,100,100,100
round_queries,300,300,1300,6500
round_k,0,1,6,32
round_shots,200,100,100,100
round_queries,200,300,1100,4900
round_k,0,1,5,24
round_shots,200,100,100,100
round_queries,200,300,1300,6500
round_k,0,1,6,32
round_shots,100,100,100
round_queries,100,500,2500
round_k,0,2,12
round_shots,400,100,100
round_queries,400,900,4700
round_k,0,4,23
round_shots,100,100,100,100
round_queries,100,300,1100,5900
round_k,0,1,5,29
round_shots,100,100,100,100
round_queries,100,300,1300,7100
round_k,0,1,6,35
round_shots,300,100,100
round_queries,300,900,3500
round_k,0,4,17
round_shots,100,100,100,100
round_queries,100,300,1300,6900
round_k,0,1,6,34
round_shots,100,200,100
round_queries,100,600,1700
round_k,0,1,8
round_shots,100,100,100,100
round_queries,100,300,1300,5300
round_k,0,1,6,26
round_shots,100,100,100,100
round_queries,100,300,1300,5900
round_k,0,1,6,29
round_shots,200,100,100,100
round_queries,200,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100,100
round_queries,100,300,1300,5300
round_k,0,1,6,26
round_shots,200,100,100,100
round_queries,200,300,1300,5900
round_k,0,1,6,29
round_shots,200,100,100,100
round_queries,200,300,1300,6500
round_k,0,1,6,32
round_shots,100,100,100,100
round_queries,100,300,1300,6500
round_k,0,1,6,32
round_shots,200,100,100,100
round_queries,200,300,1100,4900
round_k,0,1,5,24
round_shots,200,100,100,100
round_queries,200,300,1100,4900
round_k,0,1,5,24
round_shots,300,100,100
round_queries,300,900,3700
round_k,0,4,18
round_shots,300,100,100
round_queries,300,300,1500
round_k,0,1,7
round_shots,100,100,100
round_queries,100,500,1500
round_k,0,2,7
round_shots,300,100,100
round_queries,300,700,3300
round_k,0,3,16
round_shots,200,100,100,100
round_queries,200,300,1100,4900
round_k,0,1,5,24
round_shots,200,100,100,100
round_queries,200,300,1100,5900
round_k,0,1,5,29
round_shots,100,100,100,100
round_queries,100,300,1300,5500
round_k,0,1,6,27
round_shots,200,100,100,100
round_queries,200,300,1300,6300
round_k,0,1,6,31
round_shots,100,100,100,100
round_queries,100,300,1300,5500
round_k,0,1,6,27
round_shots,300,100,100
round_queries,300,300,1500
round_k,0,1,7
round_shots,200,100,100,100
round_queries,200,300,1300,6100
round_k,0,1,6,30
round_shots,100,100,100,100
round_queries,100,300,1300,6300
round_k,0,1,6,31
round_shots,200,100,100
round_queries,200,300,1500
round_k,0,1,7
round_shots,200,100,100
round_queries,200,700,3500
round_k,0,3,17
round_shots,200,100,100,100
round_queries,200,300,1300,5900
round_k,0,1,6,29
round_shots,100,100,100,100
round_queries,100,300,1300,6500
